channel_name,category,subscribers
Abel Cantika,Beauty  ,523000
The Bramantyo,Daily vlogs | Family & Parenting,523000
SUDUT RUMAH,Mystery,523000
CHOPIE GAMING,Video games,523000
SYEM EL ARABY1,Daily vlogs,523000
Jacob Pieter,Music & Dance,523000
SOS OFFICIAL,Video games,523000
DW artworks,Science & Technology | Education,523000
Rahma Kornanila,Toys,522000
Gloomy Sunday Club,Animation,522000
TH GROUP CHANNEL,Animation,522000
citra sukma,Video games,522000
Rubby Pakhoy,Daily vlogs,522000
ZONA ANIME OFFICIAL,Animation,522000
Temu Karya TV Official,Daily vlogs,522000
MOBIL AM,Toys,522000
Ade Muhidin WS,Video games | Daily vlogs,522000
Rayn Tjoa,Animation,522000
DIAN ANIC OFFICIAL VIDEO,Music & Dance,522000
Yoggami,Video games,521000
Ardhianzy,Education | Mystery,521000
BANG MAMANG SUHU,Video games,521000
Maya Nadia,Animation,521000
Ikhsan Angga Kusuma,Fitness | Health & Self Help,521000
indoflashlight,Travel,521000
Uda Ridwan Channel,Education,521000
Mikocil,Video games,521000
mdp357,Movies,521000
Richard Putra,Podcast,521000
AGIAN VIRGOZZI,News & Politics,521000
HATTRICK,Sports,521000
BAYU KENDANG,Daily vlogs,520000
Hewan Viral 2,Animal & Pets,520000
Defan Update,Movies,520000
Kathok Ku,News & Politics,520000
Hijrah Indonesia,Education,519000
Ogick Andria,Daily vlogs,519000
Dewi Pobo,Daily vlogs,519000
Zee-Home,Education,519000
Hindia,Music & Dance,519000
Andreas Gaming,Video games,519000
Freaky Slurp Prod.,Humor,519000
Andra Ramadhan,Music & Dance,519000
WangKi ID,Video games,518000
Surya 27,Video games,518000
Sang penjelajah Amatir,Mystery | Travel,518000
Iman Games,Video games,518000
Dul Jaelani,Music & Dance,518000
GOO FUN,Humor,517000
FrogEZ-,Video games,517000
Dodi Hidayatullah,Music & Dance,517000
LabQi Gaming,Video games,517000
Resep Masakan enak,Food & Drinks,517000
TVLAIN,Humor,517000
ocehan burung,Animal & Pets,517000
Dadan Wijaya92,Music & Dance,516000
Pelita Timur,Music & Dance,516000
Android Rakun,Video games,516000
JAMBUL IJO,Daily vlogs,516000
TeleBadut,Humor,516000
Indah Aqila,Music & Dance,516000
Racun Skincare Viral,Beauty,516000
ILHAMIQBALAL (GEAM),Humor,516000
Drama Badut Official,Show | Humor,516000
YouthTV Indonesia,News & Politics,515000
alonelines,Music & Dance,515000
Prio Excellent,Animal & Pets,515000
LugNutz Auto Junkie,Autos & Vehicles,515000
Angger Papua,Daily vlogs,515000
Animal Universe,Animal & Pets,515000
Maheza Gaming,Video games,515000
tugus bayu channel.,Daily vlogs,515000
Gudang Artis,News & Politics,515000
GOMAWO UPDATE,Music & Dance,515000
Putra Damanik,Music & Dance,514000
NaO,Autos & Vehicles,514000
Nona Berlian,Daily vlogs,514000
Bass Nation Blitar,Music & Dance,514000
Hobah Bersama Music & Dance,Music & Dance,514000
Keluarga Arif Com ID,Education,513000
IDAY ADVENTURER,Daily vlogs,513000
Ulasan Tube,Education,513000
PACE KOMPUTER,Education,513000
Ciduk Warrior,Video games,513000
Katolikku Keren,Education,512000
Sunarto Clip,Humor,512000
ErDev,Science & Technology  ,512000
Mitty Zasia,Music & Dance,512000
Berbagi kisah,Education,512000
Ceciwi Entertainment,Music & Dance,512000
BayoBuan,Autos & Vehicles,512000
Nadine Zaaramecca,Family & Parenting,512000
Ayo Masak Ayo Makan,Food & Drinks,512000
Dapur Riara,Food & Drinks,512000
junfarabi,Music & Dance,512000
It's Putry,Animation,511000
Marcellino Andryan,Daily vlogs,511000
Sakura Manggar,Video games | Animation,511000
Wanda Hanan Rahayu,Fashion,511000
Pojok Ceu Inday,Food & Drinks,511000
Arzun HF,News & Politics,511000
Fahrul Fahrul,Education,511000
Kids Planet Indonesian,Animation,511000
Babeh Ary Entertainment,Daily vlogs,511000
OT PESONA - PURNAMA,Music & Dance | Show,511000
Tival Salsabila,Music & Dance,511000
PRIME FF,Video games,511000
ANR Rider,Autos & Vehicles,510000
Mbah Man Otak Atik Android,Education | Science & Technology,510000
The Lazy Monday,Video games,510000
Permata Musik,Music & Dance,510000
MAS KAMDI,Mystery,510000
FAJARGPJKT,Food & Drinks,510000
Bunda Dewi,Food & Drinks,510000
Ayyun azzuyyin,Beauty | Fashion,510000
Aneka Momen,Animation,510000
Askana Sakhi,Daily vlogs,509000
Ikyy Pahlevii,Music & Dance,509000
BagasDC,Video games,509000
Hesti Purwadinata,Daily vlogs,509000
Aris Prihantoro,Video games,509000
SKI Records,Music & Dance | Show,509000
Lathifu Syifa,Education | Health & Self Help,509000
Edy Marwan,Education,509000
Koplo Musik,Music & Dance,509000
delvira saskia,Daily vlogs,509000
Awen MAN,Music & Dance,508000
Anak Garut,Daily vlogs,508000
Xmood Roy,Video games,508000
The Mepilians,Daily vlogs,508000
Arjuna CN,Autos & Vehicles,508000
Natasya kitchen,Food & Drinks,508000
Dapur Cantik Channel,Food & Drinks,508000
Revolt Nation,Animation,508000
Andrey Legends,Animation,507000
Hidayat Squad,Daily vlogs,507000
Cristina Surya,Daily vlogs,507000
Bu GM,Food & Drinks | Daily vlogs,507000
Elly Marcellina,Daily vlogs,507000
MOBIL GAES,Toys,506000
Gudang Design,Design/art,506000
? Sakura.Blossom27 ?,Animation,506000
DPRDOTCOM,News & Politics,506000
Sahabat Islam,Education,506000
Z Sagala,Daily vlogs,506000
Darti Rahmah,Education,505000
DIBIKIN CHANNEL,News & Politics,505000
Babang Marboi,Show,505000
iTechLife,Science & Technology,505000
Ranty Maria,Daily vlogs,505000
Wielofa TV,Design/art,505000
Sonalibaba,Video games,505000
Onal Majan,Food & Drinks | Travel,505000
GITA KDI CHANNEL,Music & Dance,505000
Enjoy Channel News,News & Politics,505000
Myeeep,Video games,505000
Kios Komputer,Science & Technology,504000
Lein Xceed,Video games,504000
siftop studio,Show,504000
Domo Bramantyo,Food & Drinks,504000
Papa Tutor,Humor,504000
Riyadi TV,Show,504000
KJV Channel,Autos & Vehicles,504000
A&Fchannel,News & Politics,504000
Hello Mini ASMR,ASMR,504000
Masdddho,Music & Dance,503000
KULINER icip Rasa,Food & Drinks,503000
Ica Poetry Official,News & Politics,503000
Joesin translation,Education,503000
Rafiq Iqbal,Daily vlogs,503000
POPAYEftZORO,Animation,503000
651 SAFA,News & Politics,503000
marjuki_82channel,Animation,503000
bila salsabila official,Video games,503000
Toys Official,Toys,503000
Jian atya Tube,Food & Drinks,503000
Virlyanaaa,Animation,502000
KANG IRLAN,Daily vlogs,502000
Tarjo Kucingan,Food & Drinks,502000
Swara Nada Entertainment,Music & Dance,502000
BRI Education,Daily vlogs,502000
Fuad28 Toys,Toys,502000
Mata Langit,Mystery,502000
RandiFun,Daily vlogs,502000
GARISKA Records,Music & Dance,502000
Akrana Musik,Music & Dance,502000
Boboiboy Edit,Animation,501000
Ray Surajaya,Music & Dance,501000
Ulum Zaenal,Daily vlogs,501000
Angga LOF,Daily vlogs,501000
MUBAI OFFICIAL,Music & Dance | Show,501000
Mestika Dalimunthe,Daily vlogs,501000
Mie Pink,Animation,500000
Papa Limite,Video games,500000
The Raden Official,Mystery,500000
Moto Tarek,Toys,500000
Sarjan Upin,Animation,500000
